Time,Values
0.013333333,0.009841822
0.026666667,0.156875306
0.04,0.205250204
0.053333333,0.179937653
0.066666667,0.194450123
0.08,0.220625102
0.093333333,0.19198724
0.106666667,0.117437987
0.12,0.087801989
0.133333333,0.071052885
0.146666667,0.059542495
0.16,0.054902146
0.173333333,0.049708762
0.186666667,0.047950565
0.2,0.051752031
0.213333333,0.054376462
0.226666667,0.051183495
0.24,0.045397189
0.253333333,0.042430057
0.266666667,0.040401345
0.28,0.038969206
0.293333333,0.037172659
0.306666667,0.036422454
0.32,0.035408292
0.333333333,0.03601088
0.346666667,0.037790272
0.36,0.037944528
0.373333333,0.03563578
0.386666667,0.033776131
0.4,0.031271887
0.413333333,0.029365833
0.426666667,0.028509462
0.44,0.028902964
0.453333333,0.028321235
0.466666667,0.027614
0.48,0.026830699
0.493333333,0.027803554
0.506666667,0.029829884
0.52,0.031858427
0.533333333,0.029850396
0.546666667,0.027832057
0.56,0.026453386
0.573333333,0.026713242
0.586666667,0.026907502
0.6,0.027540494
0.613333333,0.02790672
0.626666667,0.028339367
0.64,0.027963546
0.653333333,0.028511743
0.666666667,0.028891916
0.68,0.029222881
0.693333333,0.02878733
0.706666667,0.028511743
0.72,0.02877165
0.733333333,0.028225377
0.746666667,0.027684943
0.76,0.027446074
0.773333333,0.027045844
0.786666667,0.026412134
0.8,0.025723309
0.813333333,0.025346614
0.826666667,0.024754864
0.84,0.024300993
0.853333333,0.023820755
0.866666667,0.024185824
0.88,0.024911208
0.893333333,0.025807441
0.906666667,0.027164816
0.92,0.028307175
0.933333333,0.029036339
0.946666667,0.02871929
0.96,0.028735321
0.973333333,0.027517437
0.986666667,0.026280183
1,0.024833466
1.013333333,0.023713373
1.026666667,0.02280772
1.04,0.02305515
1.053333333,0.023179127
1.066666667,0.024144179
1.08,0.025274415
1.093333333,0.027138865
1.106666667,0.028824201
1.12,0.030436355
1.133333333,0.031936696
1.146666667,0.033359115
1.16,0.033813809
1.173333333,0.033644541
1.186666667,0.032666299
1.2,0.032464031
1.213333333,0.03093176
1.226666667,0.029360438
1.24,0.027842315
1.253333333,0.026408902
1.266666667,0.025631534
1.28,0.025715641
1.293333333,0.025766252
1.306666667,0.026926291
1.32,0.028453674
1.333333333,0.030823369
1.346666667,0.032771197
1.36,0.034748454
1.373333333,0.035421775
1.386666667,0.035421775
1.4,0.035066844
1.413333333,0.034950006
1.426666667,0.033272312
1.44,0.032296789
1.453333333,0.030873798
1.466666667,0.029209859
1.48,0.027822724
1.493333333,0.026594912
1.506666667,0.025618952
1.52,0.025240036
1.533333333,0.025138611
1.546666667,0.026002553
1.56,0.027248226
1.573333333,0.028988909
1.586666667,0.031206015
1.6,0.033239138
1.613333333,0.033640662
1.626666667,0.033871194
1.64,0.033794
1.653333333,0.033091795
1.666666667,0.031524996
1.68,0.030333267
1.693333333,0.028797234
1.706666667,0.027687042
1.72,0.026414142
1.733333333,0.024957077
1.746666667,0.023236486
1.76,0.022447013
1.773333333,0.02192936
1.786666667,0.022430602
1.8,0.023184403
1.813333333,0.02423911
1.826666667,0.025797716
1.84,0.027052004
1.853333333,0.027165094
1.866666667,0.027397671
1.88,0.02716213
1.893333333,0.02711886
1.906666667,0.025197402
1.92,0.022827588
1.933333333,0.020935251
1.946666667,0.020363668
1.96,0.019056526
1.973333333,0.018184987
1.986666667,0.016939515
2,0.016241935
2.013333333,0.015568478
2.026666667,0.014892637
2.04,0.014568785
2.053333333,0.014978403
2.066666667,0.015937888
2.08,0.016719485
2.093333333,0.016057195
2.106666667,0.01473445
2.12,0.014006286
2.133333333,0.013856802
2.146666667,0.013696421
2.16,0.012101332
2.173333333,0.010284645
2.186666667,0.009065479
2.2,0.008162869
2.213333333,0.007636549
2.226666667,0.007281702
2.24,0.006976376
2.253333333,0.006634546
2.266666667,0.005494541
2.28,0.004814094
2.293333333,0.005016868
2.306666667,0.005251996
2.32,0.005562853
2.333333333,0.004581613
2.346666667,0.00313614
2.36,0.003727734
2.373333333,0.003833463
2.386666667,0.003833463
2.4,0.003676169
2.413333333,0.003071378
2.426666667,0.00319824
2.44,0.003212294
2.453333333,0.003044309
2.466666667,0.00291024
2.48,0.002749985
2.493333333,0.002515932
2.506666667,0.002568296
2.52,0.002533254
2.533333333,0.002515221
2.546666667,0.002499491
2.56,0.002621032
2.573333333,0.002800503
2.586666667,0.002877667
2.6,0.003100518
2.613333333,0.003100692
2.626666667,0.002809166
2.64,0.00282918
2.653333333,0.002751006
2.666666667,0.002716265
2.68,0.002774204
2.693333333,0.002032295
2.706666667,0.001948339
2.72,0.002198069
2.733333333,0.002115043
2.746666667,0.002024706
2.76,0.001652387
2.773333333,0.001545007
2.786666667,0.001700535
2.8,0.001806214
2.813333333,0.001903816
2.826666667,0.001994931
2.84,0.001950055
2.853333333,0.002110042
2.866666667,0.002218153
2.88,0.002227708
2.893333333,0.002239295
2.906666667,0.002327964
2.92,0.002194432
2.933333333,0.002062131
2.946666667,0.002022995
2.96,0.002416507
2.973333333,0.002295896
2.986666667,0.002213975
3,0.002089913
3.013333333,0.001882517
3.026666667,0.001916632
3.04,0.001940592
3.053333333,0.00169635
3.066666667,0.001798304
3.08,0.001879981
3.093333333,0.001965385
3.106666667,0.002024404
3.12,0.00192408
3.133333333,0.0018854
3.146666667,0.001852949
3.16,0.001758148
3.173333333,0.002162652
3.186666667,0.002080952
3.2,0.001916941
3.213333333,0.002019875
3.226666667,0.001953815
3.24,0.001752652
3.253333333,0.001685088
3.266666667,0.001690176
3.28,0.001873178
3.293333333,0.001496556
3.306666667,0.001557804
3.32,0.00196762
3.333333333,0.002463686
3.346666667,0.002612222
3.36,0.002674299
3.373333333,0.00303793
3.386666667,0.003075435
3.4,0.002979328
3.413333333,0.00284174
3.426666667,0.002789275
3.44,0.003100342
3.453333333,0.003013011
3.466666667,0.002879009
3.48,0.002770535
3.493333333,0.002677393
3.506666667,0.002515688
3.52,0.002596831
3.533333333,0.002660615
3.546666667,0.002582347
3.56,0.002667265
3.573333333,0.003033714
3.586666667,0.003713845
3.6,0.003970152
3.613333333,0.003779317
3.626666667,0.003795697
3.64,0.003782591
3.653333333,0.003317412
3.666666667,0.003353767
3.68,0.003501729
3.693333333,0.003366317
3.706666667,0.002935816
3.72,0.002830146
3.733333333,0.002824753
3.746666667,0.002787082
3.76,0.002682029
3.773333333,0.002400859
3.786666667,0.002427713
3.8,0.002514208
3.813333333,0.002781002
3.826666667,0.00309795
3.84,0.00294581
3.853333333,0.002897205
3.866666667,0.002920305
3.88,0.003058805
3.893333333,0.003095736
3.906666667,0.002760011
3.92,0.002205641
3.933333333,0.002059309
3.946666667,0.002042371
3.96,0.0020887
3.973333333,0.002004519
3.986666667,0.001924083
4,0.001450417
4.013333333,0.001583408
4.026666667,0.00177449
4.04,0.001818715
4.053333333,0.001849491
4.066666667,0.001884435
4.08,0.002169944
4.093333333,0.002425059
4.106666667,0.002440216
4.12,0.002448012
4.133333333,0.002472963
4.146666667,0.002305284
4.16,0.002106682
4.173333333,0.002032864
4.186666667,0.00215827
4.2,0.002102958
4.213333333,0.001911584
4.226666667,0.001783497
4.24,0.001736054
4.253333333,0.001696937
4.266666667,0.00181635
4.28,0.001825512
4.293333333,0.001769502
4.306666667,0.001859109
4.32,0.002114516
4.333333333,0.00228066
4.346666667,0.00198281
4.36,0.001884833
4.373333333,0.001912804
4.386666667,0.00191741
4.4,0.001865816
4.413333333,0.001614035
4.426666667,0.001474146
4.44,0.001437124
4.453333333,0.001376818
4.466666667,0.001318021
4.48,0.001243562
4.493333333,0.001176479
4.506666667,0.001149413
4.52,0.000999392
4.533333333,0.001012161
4.546666667,0.001158021
4.56,0.001229285
